model,train_loss,train_acc,val_loss,val_acc
my_model_2 bassed on VGG16,0.34550708532333374,0.941100001335144,0.4422697126865387,0.9115999937057495
my_model_2 bassed on VGG16,0.3424937427043915,0.942300021648407,0.43054136633872986,0.9108999967575073
my_model_2 bassed on VGG16,0.33338382840156555,0.9436666369438171,0.42577168345451355,0.9136000275611877
my_model_2 bassed on VGG16,0.3247148394584656,0.944599986076355,0.4259958565235138,0.9132000207901001
my_model_2 bassed on VGG16,0.32003962993621826,0.9446333050727844,0.414608359336853,0.9144999980926514
my_model_2 bassed on VGG16,0.3139622211456299,0.944766640663147,0.42366230487823486,0.9122999906539917
my_model_2 bassed on VGG16,0.30494987964630127,0.9451000094413757,0.4083099961280823,0.9135000109672546
my_model_2 bassed on VGG16,0.2985368072986603,0.947433352470398,0.4011942446231842,0.9144999980926514
my_model_2 bassed on VGG16,0.2939389646053314,0.9478333592414856,0.4007747769355774,0.9147999882698059
my_model_2 bassed on VGG16,0.2887178957462311,0.9483500123023987,0.39625123143196106,0.9138000011444092
my_model_2 bassed on VGG16,0.28084325790405273,0.9484166502952576,0.3979599177837372,0.9144999980926514
my_model_2 bassed on VGG16,0.27566418051719666,0.9489499926567078,0.3970796763896942,0.9136000275611877
my_model_2 bassed on VGG16,0.27085253596305847,0.9498833417892456,0.3905625343322754,0.9154000282287598
my_model_2 bassed on VGG16,0.2672719955444336,0.9510499835014343,0.3920385241508484,0.9115999937057495
my_model_2 bassed on VGG16,0.26040178537368774,0.9523500204086304,0.3820953965187073,0.9151999950408936
my_model_2 bassed on VGG16,0.2562112808227539,0.9531999826431274,0.3879692852497101,0.9140999913215637
my_model_2 bassed on VGG16,0.25167879462242126,0.9522500038146973,0.3887878656387329,0.9125999808311462
my_model_2 bassed on VGG16,0.2454088181257248,0.9533833265304565,0.38157933950424194,0.9139999747276306
my_model_2 bassed on VGG16,0.24138523638248444,0.9537500143051147,0.38405629992485046,0.9144999980926514
my_model_2 bassed on VGG16,0.23693762719631195,0.9542999863624573,0.38109779357910156,0.9143000245094299
my_model_2 bassed on VGG16,0.23225294053554535,0.9544000029563904,0.3732890188694,0.9154000282287598
my_model_2 bassed on VGG16,0.22850053012371063,0.9552000164985657,0.3793879747390747,0.9143999814987183
my_model_2 bassed on VGG16,0.2226947844028473,0.9570833444595337,0.3728196918964386,0.9150999784469604
my_model_2 bassed on VGG16,0.21916353702545166,0.9570833444595337,0.37775278091430664,0.9115999937057495
my_model_2 bassed on VGG16,0.21580485999584198,0.9567999839782715,0.37123870849609375,0.9136999845504761
my_model_2 bassed on VGG16,0.20871469378471375,0.9595000147819519,0.3688086271286011,0.9143999814987183
my_model_2 bassed on VGG16,0.20535045862197876,0.9594333171844482,0.36770960688591003,0.9165999889373779
my_model_2 bassed on VGG16,0.20634734630584717,0.9589833617210388,0.36618128418922424,0.9151999950408936
my_model_2 bassed on VGG16,0.20081566274166107,0.960183322429657,0.36632779240608215,0.9146999716758728
my_model_2 bassed on VGG16,0.1945805698633194,0.9602000117301941,0.37339675426483154,0.9128999710083008
my_model_2 bassed on VGG16,0.19200843572616577,0.9616666436195374,0.35273414850234985,0.9172000288963318
my_model_2 bassed on VGG16,0.18845567107200623,0.962066650390625,0.3591139316558838,0.9158999919891357
my_model_2 bassed on VGG16,0.18534940481185913,0.9631833434104919,0.36520713567733765,0.9143000245094299
my_model_2 bassed on VGG16,0.18211477994918823,0.9626333117485046,0.35562005639076233,0.9153000116348267
my_model_2 bassed on VGG16,0.1792859435081482,0.9642166495323181,0.35704562067985535,0.9150999784469604
my_model_2 bassed on VGG16,0.1768069565296173,0.9639166593551636,0.35161277651786804,0.9160000085830688
my_model_2 bassed on VGG16,0.169084370136261,0.9664999842643738,0.35621708631515503,0.9157999753952026
my_model_2 bassed on VGG16,0.16787272691726685,0.9656833410263062,0.3489876091480255,0.9160000085830688
my_model_2 bassed on VGG16,0.16573312878608704,0.9657666683197021,0.35970303416252136,0.9143000245094299
my_model_2 bassed on VGG16,0.16221873462200165,0.9670166373252869,0.36666539311408997,0.9107999801635742
my_model_2 bassed on VGG16,0.16101138293743134,0.9666833281517029,0.3578479588031769,0.9135000109672546
my_model_2 bassed on VGG16,0.15860088169574738,0.9672166705131531,0.3618394434452057,0.9139000177383423
my_model_2 bassed on VGG16,0.15427124500274658,0.9681333303451538,0.37189438939094543,0.9074000120162964
my_model_2 bassed on VGG16,0.15184880793094635,0.9689833521842957,0.360332190990448,0.913100004196167
my_model_2 bassed on VGG16,0.14843213558197021,0.968916654586792,0.3705592155456543,0.9121999740600586
my_model_2 bassed on VGG16,0.14640681445598602,0.9694166779518127,0.365699827671051,0.9125999808311462
